Source,Target,Weight
张茂义,全国社保基金一零四组合,1
胡天兴,中国银河证券股份有限公司,1
胡天兴,全国社保基金一零四组合,1
姜风,中国银河证券股份有限公司,1
姜风,全国社保基金一零四组合,1
张立华,中国银河证券股份有限公司,1
张立华,全国社保基金一零四组合,1
中国银河证券股份有限公司,李卫平,1
中国银河证券股份有限公司,方伟,1
中国银河证券股份有限公司,周水英,1
李卫平,全国社保基金一零四组合,1
方伟,全国社保基金一零四组合,1
周水英,全国社保基金一零四组合,1
中央汇金资产管理有限责任公司,黄希法,1
中央汇金资产管理有限责任公司,李贵云,1
黄希法,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
黄希法,香港中央结算有限公司,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,李贵云,1
香港中央结算有限公司,李贵云,1
中央汇金资产管理有限责任公司,陈新福,1
中央汇金资产管理有限责任公司,陈聪惠,1
中央汇金资产管理有限责任公司,张远文,1
陈新福,中国科学院合肥物质科学研究院,1
陈新福,香港中央结算有限公司,1
陈新福,中国证券金融股份有限公司,1
中国科学院合肥物质科学研究院,陈聪惠,1
中国科学院合肥物质科学研究院,张远文,1
香港中央结算有限公司,陈聪惠,1
香港中央结算有限公司,张远文,1
陈聪惠,中国证券金融股份有限公司,1
张远文,中国证券金融股份有限公司,1
吴禹雄,中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金,1
吴禹雄,中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金,1
吴禹雄,中国银行股份有限公司-华泰柏瑞量化阿尔法灵活配置混合型证券投资基金,1
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金,黄友平,1
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金,黄明嵩,1
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金,吴桂谦,1
黄友平,中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金,1
黄友平,中国银行股份有限公司-华泰柏瑞量化阿尔法灵活配置混合型证券投资基金,1
黄明嵩,中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金,1
黄明嵩,中国银行股份有限公司-华泰柏瑞量化阿尔法灵活配置混合型证券投资基金,1
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金,吴桂谦,1
吴桂谦,中国银行股份有限公司-华泰柏瑞量化阿尔法灵活配置混合型证券投资基金,1
中国诚通香港有限公司,戴东润,1
中国诚通香港有限公司,林哲莹,1
戴东润,香港中央结算有限公司,1
戴东润,中国建设银行-宝盈资源优选股票型证券投资基金,1
香港中央结算有限公司,林哲莹,1
林哲莹,中国建设银行-宝盈资源优选股票型证券投资基金,1
蒯正东,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
蒯正东,中国银行-华夏回报证券投资基金,1
孙家兵,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
孙家兵,中国银行-华夏回报证券投资基金,1
徐进中,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
徐进中,中国银行-华夏回报证券投资基金,1
程云,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
程云,中国银行-华夏回报证券投资基金,1
刘国宏,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
刘国宏,中国银行-华夏回报证券投资基金,1
蔡成武,中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,1
蔡成武,中国银行-华夏回报证券投资基金,1
中国工商银行股份有限公司-鹏华策略回报灵活配置混合型证券投资基金,王平,1
中国银行-华夏回报证券投资基金,王平,1
中国证券金融股份有限公司,卢君,1
卢君,中央汇金资产管理有限责任公司,1
于少波,中央汇金资产管理有限责任公司,1
于少波,中国证券金融股份有限公司,1
于少波,中国银河证券股份有限公司客户信用交易担保证券账户,1
于少波,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
熊玲瑶,中央汇金资产管理有限责任公司,1
熊玲瑶,中国证券金融股份有限公司,1
熊玲瑶,中国银河证券股份有限公司客户信用交易担保证券账户,1
熊玲瑶,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
唐安斌,中央汇金资产管理有限责任公司,1
唐安斌,中国证券金融股份有限公司,1
唐安斌,中国银河证券股份有限公司客户信用交易担保证券账户,1
唐安斌,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
中央汇金资产管理有限责任公司,熊海涛,1
中央汇金资产管理有限责任公司,唐子舜,1
熊海涛,中国证券金融股份有限公司,1
熊海涛,中国银河证券股份有限公司客户信用交易担保证券账户,1
熊海涛,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
中国证券金融股份有限公司,唐子舜,1
中国银河证券股份有限公司客户信用交易担保证券账户,唐子舜,1
唐子舜,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
全国社保基金一一三组合,周良璋,1
全国社保基金一一三组合,方胜康,1
周良璋,中国光大银行股份有限公司-大成策略回报混合型证券投资基金,1
周良璋,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
方胜康,中国光大银行股份有限公司-大成策略回报混合型证券投资基金,1
方胜康,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪,杨啟忠,1
杨啟忠,香港中央结算有限公司,1
杨啟忠,中国银行-华夏回报证券投资基金,1
洪泽君,中国证券金融股份有限公司,1
洪泽君,中央汇金资产管理有限责任公司,1
中国证券金融股份有限公司,周伟青,1
中国证券金融股份有限公司,杨奇逊,1
中国证券金融股份有限公司,王绪昭,1
中国证券金融股份有限公司,吴志祥,1
中国证券金融股份有限公司,赵瑞航,1
周伟青,中央汇金资产管理有限责任公司,1
中央汇金资产管理有限责任公司,杨奇逊,1
中央汇金资产管理有限责任公司,王绪昭,1
中央汇金资产管理有限责任公司,吴志祥,1
中央汇金资产管理有限责任公司,赵瑞航,1
香港中央结算有限公司,李葛卫,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,李葛卫,1
中央汇金资产管理有限责任公司,肖伟,1
肖伟,中国证券金融股份有限公司,1
肖伟,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
肖伟,易方达基金-农业银行-易方达中证金融资产管理计划,1
肖伟,博时基金-农业银行-博时中证金融资产管理计划,1
肖伟,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,1
肖伟,嘉实基金-农业银行-嘉实中证金融资产管理计划,1
肖伟,中欧基金-农业银行-中欧中证金融资产管理计划,1
肖伟,大成基金-农业银行-大成中证金融资产管理计划,1
俞熔,全国社保基金一零四组合,1
俞熔,中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,1
俞熔,中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,1
全国社保基金一零四组合,束美珍,1
全国社保基金一零四组合,卞雪莲,1
全国社保基金一零四组合,吴贵州,1
全国社保基金一零四组合,丁腊梅,1
全国社保基金一零四组合,冯美珍,1
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,束美珍,1
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,卞雪莲,1
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,吴贵州,1
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,丁腊梅,1
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金,冯美珍,1
束美珍,中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,1
卞雪莲,中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,1
吴贵州,中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,1
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,丁腊梅,1
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划,冯美珍,1
袁志敏,中国证券金融股份有限公司,1
袁志敏,中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,1
袁志敏,中央汇金资产管理有限责任公司,1
袁志敏,全国社保基金一一三组合,1
熊海涛,中国证券金融股份有限公司,1
熊海涛,中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,1
熊海涛,中央汇金资产管理有限责任公司,1
熊海涛,全国社保基金一一三组合,1
宋子明,中国证券金融股份有限公司,1
宋子明,中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,1
宋子明,中央汇金资产管理有限责任公司,1
宋子明,全国社保基金一一三组合,1
李南京,中国证券金融股份有限公司,1
李南京,中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,1
李南京,中央汇金资产管理有限责任公司,1
李南京,全国社保基金一一三组合,1
中国证券金融股份有限公司,夏世勇,1
中国证券金融股份有限公司,熊玲瑶,1
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,夏世勇,1
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,熊玲瑶,1
夏世勇,中央汇金资产管理有限责任公司,1
夏世勇,全国社保基金一一三组合,1
中央汇金资产管理有限责任公司,熊玲瑶,1
熊玲瑶,全国社保基金一一三组合,1
边程,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
卢勤,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
石庭波,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
梁桐灿,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
石丽云,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
陈积泽,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,李小春,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,郑文平,1
邓跃辉,中国国际金融股份有限公司,1
曲明彦,中国国际金融股份有限公司,1
中国国际金融股份有限公司,姚武,1
中国国际金融股份有限公司,汪国超,1
陈红朝,全国社保基金四一三组合,1
陈红朝,香港中央结算有限公司,1
陈红朝,全国社保基金四一四组合,1
全国社保基金四一三组合,张江平,1
全国社保基金四一三组合,陈静波,1
张江平,香港中央结算有限公司,1
张江平,全国社保基金四一四组合,1
香港中央结算有限公司,陈静波,1
全国社保基金四一四组合,陈静波,1
谢宏康,中国平安人寿保险股份有限公司-分红-个险分红,1
谢宏康,中国人民人寿保险股份有限公司-传统-普通保险产品,1
谢宏康,中国平安财产保险股份有限公司-传统-普通保险产品,1
李雪权,中国平安人寿保险股份有限公司-分红-个险分红,1
李雪权,中国人民人寿保险股份有限公司-传统-普通保险产品,1
李雪权,中国平安财产保险股份有限公司-传统-普通保险产品,1
朱才友,中国平安人寿保险股份有限公司-分红-个险分红,1
朱才友,中国人民人寿保险股份有限公司-传统-普通保险产品,1
朱才友,中国平安财产保险股份有限公司-传统-普通保险产品,1
毛惠英,中国平安人寿保险股份有限公司-分红-个险分红,1
毛惠英,中国人民人寿保险股份有限公司-传统-普通保险产品,1
毛惠英,中国平安财产保险股份有限公司-传统-普通保险产品,1
毛财良,中国平安人寿保险股份有限公司-分红-个险分红,1
毛财良,中国人民人寿保险股份有限公司-传统-普通保险产品,1
毛财良,中国平安财产保险股份有限公司-传统-普通保险产品,1
中国平安人寿保险股份有限公司-分红-个险分红,傅永平,1
傅永平,中国人民人寿保险股份有限公司-传统-普通保险产品,1
傅永平,中国平安财产保险股份有限公司-传统-普通保险产品,1
徐开东,中国证券金融股份有限公司,1
李宝玉,中国证券金融股份有限公司,1
